ds,yhat,yhat_lower,yhat_upper
2017-08-02,70.52372036217179,42.49588354398911,98.186714835813
2017-10-20,54.22680304454576,26.2267605315962,81.6547019648934
2017-10-21,54.61641354446564,27.083725282618104,84.55383680920836
2017-10-22,51.481400924614846,21.712171876575134,79.79422595068576
2017-10-23,47.422279109342796,20.620663277326877,77.29301103286188
2017-10-24,48.571476176346536,19.08246003041023,78.15279091533188
2017-10-25,50.628417331954545,22.627071621659145,79.76789786315935
2017-10-26,49.607020525841,20.899487285379028,78.13995042835103
2017-10-27,51.39473972777475,21.660748085456394,80.53344770237712
2017-10-28,51.95746675256762,21.040854859843574,79.21168263899169
2017-10-29,48.9718744087103,18.981247372661358,79.0962160703115
2017-10-30,45.035438664239244,17.685075081358363,73.02492005936685
2017-10-31,46.27855276291592,15.498256213262662,73.59379831341911
2017-11-01,48.39968914685853,20.904104339741153,79.186825038414
2017-11-02,47.41289803685911,18.69909342630677,77.92729488523234
2017-11-03,49.20685018333458,21.9982203402319,79.11872776548451
2017-11-05,46.72134591497286,18.042242176141087,76.6009330145115
2017-11-06,42.72337034498478,14.608555108145971,70.98261938388457
2017-11-07,43.89100373582275,16.10547120339738,73.92380191703332
2017-11-08,45.92814348272004,16.431845224725297,73.6476029514854
2017-11-09,44.85467816133971,15.994736425175038,74.09498009888863
2017-11-10,46.56534381144904,19.299828404493056,76.22612157482112
2017-11-11,47.03438983622051,19.996644827647813,76.7318266047906
2017-11-14,41.068508916385504,12.821679292912297,69.07642873873726
2017-11-15,43.12455490755689,15.946571657628644,73.34530569733637
2017-11-18,44.49849952340974,14.473086319687,72.12024527882049
2017-11-22,41.45357421120241,14.13352417702396,69.72033929459235
2017-11-23,40.72486136104477,14.220117367261265,69.19851163595686
2017-11-24,42.837334973913535,15.738874662214076,70.99589614051713
2017-11-25,43.76022071832825,14.799976684926763,70.65172875438812
2017-11-26,41.17247535981044,11.42427205097529,71.6742629827899
2017-11-27,37.672664363734725,8.939204997369659,66.23551626872457
2017-11-28,39.39096636939025,10.179047987803624,66.68061120880321
2017-11-29,42.024264390877384,12.433781098800788,69.18543471857235
2017-12-02,45.095782334228424,16.443096077576694,75.01178863000486
2017-12-03,42.68400110335483,15.692417265728915,71.29691076429121
2017-12-04,39.31151393343791,11.137281240526189,67.10757533358803
2017-12-05,41.1046213564346,13.706349178861501,69.74290028913589
2017-12-07,43.280258953951574,15.704101111277291,71.78341296560112
2017-12-08,45.557082121144795,18.499130346116605,74.61727888422953
2017-12-12,41.82911724843239,13.050700818353947,70.85940889831095
2017-12-15,45.24639212562434,17.321872407018606,73.5920014071243
2017-12-16,45.867208060858616,18.015960020398627,74.0611945659291
2017-12-17,42.88341199716624,15.449189431851623,71.55930038262935
2017-12-18,38.90272578774325,10.954485697770064,66.89387910324113
2017-12-19,40.06675477021553,11.738426784980996,68.79608676281337
2017-12-20,42.085828546191635,13.813284777466604,70.90044278717296
2017-12-21,40.986162227592175,14.094504030409645,67.04386737857686
2017-12-22,42.66855503450525,14.69350238652314,68.9325110951993
2017-12-23,43.11290999716538,15.337908076810992,74.51268768883293
2017-12-24,40.010175372110226,9.821489050988,68.08356033056037
2017-12-25,35.97195656880337,9.6337726507577,64.08965885055468
2017-12-26,37.142222925424036,8.432492470166375,65.86641708499788
2017-12-27,39.2320765783814,11.28576533501979,67.88985306048606
2017-12-28,38.26688332761412,8.871108148090922,66.74132938184243
2017-12-29,40.14498340997941,11.894445648622023,66.83413509139498
2017-12-30,40.842265808511605,13.15814657738438,69.38198726523225
